CountryCode,CountryName
0,World
4,Afghanistan
8,Albania
12,Algeria
16,American Samoa
20,Andorra
24,Angola
28,Antigua and Barbuda
31,Azerbaijan
32,Argentina
36,Australia
40,Austria
44,Bahamas
48,Bahrain
50,Bangladesh
51,Armenia
52,Barbados
56,Belgium
58,Belgium Luxembourg
60,Bermuda
64,Bhutan
68,Bolivia
70,Bosnia Herzegovina
72,Botswana
74,Bouvet Island
76,Brazil
84,Belize
90,Solomon Isds
96,Brunei Darussalam
100,Bulgaria
104,Myanmar
108,Burundi
112,Belarus
116,Cambodia
120,Cameroon
124,Canada
132,Cabo Verde
136,Cayman Isds
140,Central African Republic
144,Sri Lanka
148,Chad
152,Chile
156,China
162,Christmas Isds
166,Cocos Isds
170,Colombia
174,Comoros
175,Mayotte
178,Congo
184,Cook Islands
188,Costa Rica
191,Croatia
192,Cuba
196,Cyprus
200,Czechoslovakia
203,Czech Republic
204,Benin
208,Denmark
212,Dominica
214,Dominican Republic
218,Ecuador
222,El Salvador
226,Equatorial Guinea
230,Fmr Ethiopia
231,Ethiopia
232,Eritrea
233,Estonia
239,South Georgia and the South Sandwich Islands
242,Fiji
246,Finland
251,France
254,French Guiana
258,French Polynesia
262,Djibouti
266,Gabon
268,Georgia
270,Gambia
275,Occupied Palestinian Territory
276,Germany
288,Ghana
292,Gibraltar
296,Kiribati
300,Greece
304,Greenland
308,Grenada
312,Guadeloupe
316,Guam
320,Guatemala
324,Guinea
328,Guyana
332,Haiti
340,Honduras
344,"China, Hong Kong SAR"
348,Hungary
352,Iceland
360,Indonesia
364,Iran
368,Iraq
372,Ireland
376,Israel
381,Italy
384,Cote d'Ivoire
388,Jamaica
392,Japan
398,Kazakhstan
400,Jordan
404,Kenya
408,South Georgia and the South Sandwich Islands
410,"Korea, Republic of"
414,Kuwait
417,Kyrgyzstan
418,Laos
422,Lebanon
426,Lesotho
428,Latvia
430,Liberia
434,Libya
440,Lithuania
442,Luxembourg
450,Madagascar
454,Malawi
457,Sarawak
458,Malaysia
459,Peninsula Malaysia
461,Sabah
462,Maldives
466,Mali
470,Malta
474,Martinique
478,Mauritania
480,Mauritius
484,Mexico
496,Mongolia
498,Moldova
499,Montenegro
500,Montserrat
504,Morocco
508,Mozambique
512,Oman
516,Namibia
520,Nauru
524,Nepal
528,Netherlands
533,Aruba
534,Saint Maarten
535,Bonaire
536,Neutral Zone
540,New Caledonia
548,Vanuatu
554,New Zealand
558,Nicaragua
562,Niger
566,Nigeria
570,Niue
579,Norway
584,Marshall Isds
585,Palau
586,Pakistan
588,East and West Pakistan
591,Panama
592,Fmr Panama-Canal-Zone
598,Papua New Guinea
600,Paraguay
604,Peru
608,Philippines
612,Pitcairn
616,Poland
620,Portugal
624,Guinea-Bissau
634,Qatar
642,Romania
643,Russian Federation
646,Rwanda
647,Ryukyu Isd
654,Saint Helena
659,Saint Kitts and Nevis
660,Anguilla
662,Saint Lucia
666,Saint Pierre and Miquelon
670,Saint Vincent and the Grenadines
674,San Marino
678,Sao Tome and Principe
682,Saudi Arabia
686,Senegal
688,Serbia
690,Seychelles
694,Sierra Leone
698,Sikkim
699,India
702,Singapore
703,Slovakia
704,Vietnam
705,Slovenia
706,Somalia
710,South Africa
716,Zimbabwe
724,Spain
728,South Sudan
729,Sudan
732,Western Sahara
736,Fmr Sudan
740,Suriname
748,Swaziland
752,Sweden
757,Switzerland
760,Syria
762,Tajikistan
764,Thailand
768,Togo
772,Tokelau
776,Tonga
780,Trinidad and Tobago
784,United Arab Emirates
788,Tunisia
792,Turkey
795,Turkmenistan
796,Turks and Caicos Isds
798,Tuvalu
800,Uganda
804,Ukraine
818,Egypt
826,United Kingdom
834,Tanzania
842,United States of America
854,Burkina Faso
858,Uruguay
860,Uzbekistan
862,Venezuela
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
876,Wallis and Futuna Isds
879,"Western Asia, nes"
882,Samoa
886,Fmr Arab Rep. of Yemen
887,Yemen
891,Serbia and Montenegro
894,Zambia
